chain,n,different_weights,beta_max,epsilon,algorithm,sample_complexity,TPAsteps,true_Q,estimate_Q,error
logical,3,7,0.1,0.1,Kolmogorov,1571232,72504,1.379741516891444,,
logical,3,7,0.1,0.1,parallelGibbs,109998,75058,1.379741516891444,1.3817457942495894,0.0014526469875757453
logical,3,7,0.1,0.075,Kolmogorov,3865696,73570,1.379741516891444,,
logical,3,7,0.1,0.075,parallelGibbs,161390,71833,1.379741516891444,1.3808352397921921,0.0007927013048156795
logical,3,7,0.1,0.05,Kolmogorov,7322246,79514,1.379741516891444,,
logical,3,7,0.1,0.05,parallelGibbs,251098,78240,1.379741516891444,1.3789914681722673,-0.0005436153873709104
logical,3,7,0.1,0.04,Kolmogorov,12638688,78816,1.379741516891444,,
logical,3,7,0.1,0.04,parallelGibbs,345982,84958,1.379741516891444,1.3804810101566334,0.0005359650747158717
logical,3,7,0.1,0.025,Kolmogorov,22502172,78780,1.379741516891444,,
logical,3,7,0.1,0.025,parallelGibbs,620499,83462,1.379741516891444,1.3788173927205722,-0.0006697806506205106
logical,3,7,0.1,0.01,Kolmogorov,216588869,99005,1.379741516891444,,
logical,3,7,0.1,0.01,parallelGibbs,1626268,102329,1.379741516891444,1.3795300249889428,-0.00015328371286360554
logical,3,7,0.1,0.1,Kolmogorov,1835605,74461,1.379741516891444,,
logical,3,7,0.1,0.1,parallelGibbs,104937,72553,1.379741516891444,1.3807155237064972,0.0007059342660411527
logical,3,7,0.1,0.075,Kolmogorov,3251535,77949,1.379741516891444,,
logical,3,7,0.1,0.075,parallelGibbs,150444,79703,1.379741516891444,1.3830384785230194,0.0023895502101027866
logical,3,7,0.1,0.05,Kolmogorov,4537423,77443,1.379741516891444,,
logical,3,7,0.1,0.05,parallelGibbs,278835,78679,1.379741516891444,1.3812793262610354,0.0011145633807236877
logical,3,7,0.1,0.04,Kolmogorov,8030701,74701,1.379741516891444,,
logical,3,7,0.1,0.04,parallelGibbs,329243,80628,1.379741516891444,1.3794651541295273,-0.00020030038853890986
logical,3,7,0.1,0.025,Kolmogorov,31410799,87127,1.379741516891444,,
logical,3,7,0.1,0.025,parallelGibbs,561653,92106,1.379741516891444,1.3809232414504167,0.0008564825690213773
logical,3,7,0.1,0.01,Kolmogorov,232017245,98621,1.379741516891444,,
logical,3,7,0.1,0.01,parallelGibbs,1618341,95557,1.379741516891444,1.3798429975326476,7.355047301338402e-05
logical,3,7,0.1,0.1,Kolmogorov,1543588,68884,1.379741516891444,,
logical,3,7,0.1,0.1,parallelGibbs,125306,73504,1.379741516891444,1.3798392966975976,7.086820607815625e-05
logical,3,7,0.1,0.075,Kolmogorov,3365132,74182,1.379741516891444,,
